E055	E056	E059	E061	E057	E058	E028	E027	E104	E095	E105	E065	E085	E084	E109	E106	E079	E094	gene_id	gene_name
High	Low	Low	High	Low	High	Low	High	Low	Low	Low	Low	High	High	Low	High	Low	High	ENSG00000000457	SCYL3
Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	High	Low	Low	High	High	High	High	ENSG00000000938	FGR
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	ENSG00000000971	CFH
Low	Low	High	High	High	High	High	High	Low	Low	Low	Low	High	High	High	Low	High	High	ENSG00000001084	GCLC
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000001460	STPG1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000001561	ENPP4
High	High	Low	Low	High	High	High	Low	High	High	High	High	Low	Low	High	High	High	High	ENSG00000001617	SEMA3F
High	High	High	High	High	High	High	High	Low	High	Low	High	High	High	Low	Low	Low	High	ENSG00000001629	ANKIB1
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	High	Low	High	Low	ENSG00000002587	HS3ST1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000002726	AOC1
Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000002822	MAD1L1
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000002933	TMEM176A
Low	Low	High	Low	High	Low	High	High	High	High	High	High	Low	High	High	High	High	Low	ENSG00000003137	CYP26B1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	High	ENSG00000003147	ICA1
Low	Low	High	High	High	High	Low	High	Low	Low	Low	Low	High	High	Low	High	High	High	ENSG00000003249	DBNDD1
Low	Low	Low	Low	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	ENSG00000003400	CASP10
High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	Low	High	Low	ENSG00000003436	TFPI
High	High	High	High	Low	High	Low	High	High	High	High	Low	High	High	High	Low	High	Low	ENSG00000003989	SLC7A2
High	High	High	High	Low	Low	Low	Low	High	High	Low	Low	High	High	Low	High	High	Low	ENSG00000004660	CAMKK1
Low	Low	High	High	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000004799	PDK4
Low	Low	Low	Low	High	Low	High	High	Low	Low	Low	High	Low	Low	High	High	High	High	ENSG00000005001	PRSS22
High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	ENSG00000005073	HOXA11
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	Low	Low	Low	ENSG00000005102	MEOX1
High	High	High	High	High	High	High	Low	High	High	High	High	Low	Low	Low	Low	High	High	ENSG00000005243	COPZ2
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	High	High	High	ENSG00000005379	TSPOAP1
High	Low	Low	High	Low	High	High	High	Low	Low	High	High	High	High	Low	Low	Low	High	ENSG00000005436	GCFC2
Low	Low	Low	High	Low	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000005469	CROT
High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	Low	ENSG00000005513	SOX8
High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	Low	Low	ENSG00000005810	MYCBP2
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	Low	High	Low	ENSG00000006016	CRLF1
Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	High	Low	Low	High	High	High	Low	ENSG00000006047	YBX2
Low	Low	High	High	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000006210	CX3CL1
Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000006432	MAP3K9
High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000006453	BAIAP2L1
Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	Low	High	ENSG00000006459	KDM7A
High	High	High	High	Low	Low	Low	Low	High	High	High	Low	Low	High	Low	Low	Low	Low	ENSG00000006468	ETV1
High	High	High	High	High	High	High	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000006530	AGK
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000006555	TTC22
Low	Low	Low	High	Low	High	Low	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000006576	PHTF2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000006611	USH1C
High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000006634	DBF4
High	High	High	High	High	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000006638	TBXA2R
High	High	High	High	High	High	High	High	Low	High	High	Low	High	Low	Low	Low	High	Low	ENSG00000006704	GTF2IRD1
High	Low	High	High	Low	Low	High	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	ENSG00000006715	VPS41
High	Low	High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000006837	CDKL3
Low	Low	High	Low	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000007038	PRSS21
High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000007047	MARK4
